TIME_PERIOD,excess_reserves,short_rate,govt_yield_10y,ltd_ratio_calc
2017-05-01,1081113.1224489796,-0.4438636363636364,1.0786121687878187,104.34724283629919
2017-06-01,1178718.5476190476,-0.44368181818181823,0.9917861431049414,104.07105421126303
2017-07-01,1169177.5476190476,-0.4444761904761904,1.1558580248022605,104.40270887990314
2017-08-01,1169177.5476190476,-0.44082608695652165,1.063289865396919,104.41105822931488
2017-09-01,1242739.7142857143,-0.4431428571428571,1.0936349111243602,104.47584097102691
2017-10-01,1253271.163265306,-0.444,1.125479790808662,105.42654168004762
2017-11-01,1253271.163265306,-0.4341818181818181,1.0062470567952877,105.69133865615876
2017-12-01,1309687.081632653,-0.42726315789473673,0.9864677433975658,104.38321282232639
2018-01-01,1275156.0952380951,-0.4473636363636363,1.1339463225798445,105.86966593787623
2018-02-01,1275156.0952380951,-0.44970000000000004,1.2429409199497528,105.64922137658648
2018-03-01,1315625.0476190476,-0.4489047619047619,1.1087031863618835,104.86234368313406
2018-04-01,1315625.0476190476,-0.4507000000000001,1.0403738205608097,105.64236058506778
2018-05-01,1295302.2,-0.4474999999999999,1.1114098020842573,105.38090663205378
2018-06-01,1353949.8333333333,-0.4467619047619047,1.060371417875965,104.29923222901749
2018-07-01,1306664.2857142857,-0.44859090909090904,0.9841456426669722,104.97804152164298
2018-08-01,1306664.2857142857,-0.4441304347826086,1.1309296667453475,105.02525395558713
2018-09-01,1348675.918367347,-0.44769999999999993,1.1848428104704967,104.7409930144072
2018-10-01,1368985.761904762,-0.45104347826086955,1.3112090926568212,105.3592962805126
2018-11-01,1368985.761904762,-0.44631818181818184,1.266196615502132,104.98771374776594
2018-12-01,1379364.306122449,-0.44547368421052624,1.1346984143551442,103.92578285152243
2019-01-01,1332130.8333333333,-0.452,1.026799820844401,104.66733211089615
2019-02-01,1332130.8333333333,-0.45205,0.8964365361354473,104.38846971472104
2019-03-01,1364822.1904761903,-0.4528571428571429,0.7990183173111254,103.67944860984508
2019-04-01,1379024.9142857145,-0.4519999999999999,0.7147165394954971,103.93009745420629
2019-05-01,1379024.9142857145,-0.4515909090909091,0.6095680742193855,103.55228629747522
2019-06-01,1404625.5714285714,-0.4465500000000001,0.30766533624707076,102.8037287714098
2019-07-01,1335709.469387755,-0.4518260869565217,0.15753936321618833,103.13390857389744
2019-08-01,1335709.469387755,-0.4462272727272727,-0.10030140055468778,102.84858273710158
2019-09-01,1331532.7142857143,-0.4882380952380953,-0.012644842545323463,102.58532840574217
2019-10-01,1388477.7142857143,-0.5492173913043479,0.061648588287566905,102.907179736989
2019-11-01,1388477.7142857143,-0.5362857142857143,0.173652851634387,102.71147486739729
2019-12-01,1662131.8775510204,-0.5412000000000001,0.23713514530674898,102.39919440621428
2020-01-01,1623712.5,-0.5376818181818183,0.18305422480600403,103.21837873487152
2020-02-01,1623712.5,-0.5383,0.015126304517253988,102.61222624144541
2020-03-01,1642347.4897959183,-0.5338181818181819,0.2668565047763515,101.37398829284483
2020-04-01,1642347.4897959183,-0.53655,0.5214416257056576,101.23699714294989
2020-05-01,1820198.224489796,-0.5417500000000001,0.3714218309997231,100.89250169115283
2020-06-01,1966527.2,-0.5457272727272727,0.15666113382271918,100.93079224111787
2020-07-01,2345877.976190476,-0.5498695652173913,0.014696714382233996,101.35415915276333
2020-08-01,2345877.976190476,-0.5527142857142857,-0.027876264649733945,101.33966758931791
2020-09-01,2625679.446428572,-0.5539545454545455,-0.044812879010598924,101.17736580797163
2020-10-01,2625679.446428572,-0.5543636363636364,-0.11055138266444181,101.7184418026847
2020-11-01,2797019.0,-0.5563333333333335,-0.16021947914554555,102.07850795767241
2020-12-01,2960730.619047619,-0.5574545454545455,-0.19703830476799036,101.33312457714479
2021-01-01,3029375.595238095,-0.56335,-0.1797872783361427,101.98525581229268
2021-02-01,3029375.595238095,-0.56375,-0.012627426207895096,102.02424489987156
2021-03-01,3157713.8775510206,-0.5643478260869565,0.07588958746721755,102.03383620026119
2021-04-01,3421061.1904761903,-0.5658,0.12534738527822464,102.58734888699817
2021-05-01,3421061.1904761903,-0.5647142857142856,0.26844468370673064,102.45945522545796
